Depth Averaged Temps (0/300m,deg C,5N-5S,120E-80W)
TAO Project Office/NOAA/PMEL/Seattle
http://www.pmel.noaa.gov/tao/
Michael J. McPhaden, Director

 date       T300        Anomaly
198001 0.1923849E+02 0.2317905E+00
198002 0.1920306E+02 0.2853947E+00
198003 0.1913899E+02 0.2709103E+00
198004 0.1906789E+02 0.2289829E+00
198005 0.1898577E+02 0.1886444E+00
198006 0.1889866E+02 0.1585522E+00
198007 0.1882414E+02 0.1296749E+00
198008 0.1886179E+02 0.1468143E+00
198009 0.1899901E+02 0.1872959E+00
198010 0.1914614E+02 0.2050819E+00
198011 0.1925813E+02 0.2082291E+00
198012 0.1922493E+02 0.1567097E+00
198101 0.1909994E+02 0.9323883E-01
198102 0.1909449E+02 0.1768246E+00
198103 0.1913540E+02 0.2673225E+00
198104 0.1903301E+02 0.1941013E+00
198105 0.1886762E+02 0.7049370E-01
198106 0.1874213E+02 0.2017975E-02
198107 0.1867996E+02 -.1450539E-01
198108 0.1873090E+02 0.1592827E-01
198109 0.1885429E+02 0.4257774E-01
198110 0.1896342E+02 0.2235985E-01
198111 0.1903596E+02 -.1393890E-01
198112 0.1908117E+02 0.1295280E-01
198201 0.1912099E+02 0.1142941E+00
198202 0.1910621E+02 0.1885471E+00
198203 0.1906247E+02 0.1943913E+00
198204 0.1908388E+02 0.2449703E+00
198205 0.1904663E+02 0.2495041E+00
198206 0.1888920E+02 0.1490879E+00
198207 0.1879963E+02 0.1051598E+00
198208 0.1895947E+02 0.2444916E+00
198209 0.1925455E+02 0.4428368E+00
198210 0.1939880E+02 0.4577389E+00
198211 0.1936584E+02 0.3159409E+00
198212 0.1920811E+02 0.1398888E+00
198301 0.1895837E+02 -.4832649E-01
198302 0.1882177E+02 -.9589767E-01
198303 0.1887903E+02 0.1095009E-01
198304 0.1894483E+02 0.1059246E+00
198305 0.1883355E+02 0.3642273E-01
198306 0.1856513E+02 -.1749802E+00
198307 0.1834685E+02 -.3476162E+00
198308 0.1828481E+02 -.4301701E+00
198309 0.1823637E+02 -.5753460E+00
198310 0.1820973E+02 -.7313309E+00
198311 0.1834839E+02 -.7015133E+00
198312 0.1848702E+02 -.5811939E+00
198401 0.1849394E+02 -.5127563E+00
198402 0.1846301E+02 -.4546547E+00
198403 0.1846140E+02 -.4066849E+00
198404 0.1845352E+02 -.3853912E+00
198405 0.1838726E+02 -.4098740E+00
198406 0.1834095E+02 -.3991623E+00
198407 0.1837069E+02 -.3237801E+00
198408 0.1846931E+02 -.2456627E+00
198409 0.1856574E+02 -.2459698E+00
198410 0.1864006E+02 -.3009949E+00
198411 0.1875845E+02 -.2914543E+00
198412 0.1881200E+02 -.2562199E+00
198501 0.1876171E+02 -.2449951E+00
198502 0.1871442E+02 -.2032452E+00
198503 0.1871667E+02 -.1514149E+00
198504 0.1875566E+02 -.8325005E-01
198505 0.1876857E+02 -.2856064E-01
198506 0.1873107E+02 -.9037018E-02
