Depth Averaged Temps (0/300m,deg C,5N-5S,155W-80W)
TAO Project Office/NOAA/PMEL/Seattle
http://www.pmel.noaa.gov/tao/
Michael J. McPhaden, Director

 date       T300        Anomaly
198001 0.1745235E+02 0.4779663E+00
198002 0.1726423E+02 0.4889069E+00
198003 0.1701046E+02 0.3906193E+00
198004 0.1685049E+02 0.2768612E+00
198005 0.1682838E+02 0.2368412E+00
198006 0.1681300E+02 0.1903877E+00
198007 0.1674860E+02 0.1064949E+00
198008 0.1676455E+02 0.7608604E-01
198009 0.1686479E+02 0.8799362E-01
198010 0.1697955E+02 0.1156120E+00
198011 0.1710867E+02 0.1504745E+00
198012 0.1713749E+02 0.1196327E+00
198101 0.1698024E+02 0.5849838E-02
198102 0.1682662E+02 0.5129814E-01
198103 0.1680475E+02 0.1849174E+00
198104 0.1676665E+02 0.1930180E+00
198105 0.1666053E+02 0.6898689E-01
198106 0.1654795E+02 -.7465744E-01
198107 0.1645635E+02 -.1857567E+00
198108 0.1650101E+02 -.1874485E+00
198109 0.1665807E+02 -.1187267E+00
198110 0.1673215E+02 -.1317844E+00
198111 0.1681829E+02 -.1399078E+00
198112 0.1699886E+02 -.1899529E-01
198201 0.1707052E+02 0.9613800E-01
198202 0.1694978E+02 0.1744576E+00
198203 0.1683664E+02 0.2168045E+00
198204 0.1690166E+02 0.3280277E+00
198205 0.1695667E+02 0.3651352E+00
198206 0.1683508E+02 0.2124710E+00
198207 0.1676243E+02 0.1203251E+00
198208 0.1712920E+02 0.4407330E+00
198209 0.1772200E+02 0.9452019E+00
198210 0.1798471E+02 0.1120775E+01
198211 0.1813777E+02 0.1179571E+01
198212 0.1825919E+02 0.1241333E+01
198301 0.1798178E+02 0.1007391E+01
198302 0.1766729E+02 0.8919735E+00
198303 0.1766997E+02 0.1050129E+01
198304 0.1774137E+02 0.1167736E+01
198305 0.1760944E+02 0.1017897E+01
198306 0.1722369E+02 0.6010799E+00
198307 0.1685412E+02 0.2120075E+00
198308 0.1664982E+02 -.3864098E-01
198309 0.1644305E+02 -.3337498E+00
198310 0.1624650E+02 -.6174355E+00
198311 0.1625206E+02 -.7061329E+00
198312 0.1637405E+02 -.6438046E+00
198401 0.1640878E+02 -.5656013E+00
198402 0.1633919E+02 -.4361286E+00
198403 0.1625373E+02 -.3661118E+00
198404 0.1616831E+02 -.4053230E+00
198405 0.1605417E+02 -.5373707E+00
198406 0.1606231E+02 -.5602951E+00
198407 0.1623372E+02 -.4083920E+00
198408 0.1642019E+02 -.2682686E+00
198409 0.1647929E+02 -.2975063E+00
198410 0.1641656E+02 -.4473763E+00
198411 0.1641716E+02 -.5410309E+00
198412 0.1643434E+02 -.5835171E+00
198501 0.1639191E+02 -.5824776E+00
198502 0.1635999E+02 -.4153252E+00
198503 0.1634488E+02 -.2749538E+00
198504 0.1638448E+02 -.1891499E+00
198505 0.1644158E+02 -.1499577E+00
198506 0.1641792E+02 -.2046909E+00
