Depth Averaged Temps (0/300m,deg C,5N-5S,120E-155W)
TAO Project Office/NOAA/PMEL/Seattle
http://www.pmel.noaa.gov/tao/
Michael J. McPhaden, Director

 date       T300        Anomaly
198001 0.2087610E+02 0.6086349E-02
198002 0.2098067E+02 0.9880638E-01
198003 0.2109053E+02 0.1611519E+00
198004 0.2110090E+02 0.1850872E+00
198005 0.2096378E+02 0.1444550E+00
198006 0.2081090E+02 0.1293640E+00
198007 0.2072709E+02 0.1509266E+00
198008 0.2078464E+02 0.2116604E+00
198009 0.2095576E+02 0.2783413E+00
198010 0.2113257E+02 0.2871151E+00
198011 0.2122886E+02 0.2611828E+00
198012 0.2113879E+02 0.1907043E+00
198101 0.2104338E+02 0.1733608E+00
198102 0.2117378E+02 0.2919140E+00
198103 0.2127225E+02 0.3428726E+00
198104 0.2111091E+02 0.1950932E+00
198105 0.2089119E+02 0.7187271E-01
198106 0.2075385E+02 0.7231712E-01
198107 0.2071867E+02 0.1425056E+00
198108 0.2077537E+02 0.2023945E+00
198109 0.2086789E+02 0.1904716E+00
198110 0.2100915E+02 0.1636906E+00
198111 0.2106923E+02 0.1015568E+00
198112 0.2099033E+02 0.4224586E-01
198201 0.2100096E+02 0.1309414E+00
198202 0.2108333E+02 0.2014637E+00
198203 0.2110322E+02 0.1738415E+00
198204 0.2108463E+02 0.1688156E+00
198205 0.2096281E+02 0.1434860E+00
198206 0.2077251E+02 0.9097672E-01
198207 0.2066742E+02 0.9125519E-01
198208 0.2063754E+02 0.6456757E-01
198209 0.2065966E+02 -.1775360E-01
198210 0.2069530E+02 -.1501598E+00
198211 0.2049180E+02 -.4758759E+00
198212 0.2007812E+02 -.8699665E+00
198301 0.1985376E+02 -.1016256E+01
198302 0.1988024E+02 -.1001623E+01
198303 0.1998756E+02 -.9418201E+00
198304 0.2004822E+02 -.8675938E+00
198305 0.1995588E+02 -.8634415E+00
198306 0.1979502E+02 -.8865089E+00
198307 0.1971546E+02 -.8607063E+00
198308 0.1978383E+02 -.7891426E+00
198309 0.1988056E+02 -.7968521E+00
198310 0.2000970E+02 -.8357544E+00
198311 0.2027040E+02 -.6972771E+00
198312 0.2042429E+02 -.5237885E+00
198401 0.2040571E+02 -.4643040E+00
198402 0.2041022E+02 -.4716396E+00
198403 0.2048549E+02 -.4438839E+00
198404 0.2054870E+02 -.3671169E+00
198405 0.2052634E+02 -.2929802E+00
198406 0.2043011E+02 -.2514286E+00
198407 0.2032996E+02 -.2462044E+00
198408 0.2034804E+02 -.2249355E+00
198409 0.2047870E+02 -.1987190E+00
198410 0.2067867E+02 -.1667843E+00
198411 0.2090504E+02 -.6263161E-01
198412 0.2099195E+02 0.4386330E-01
198501 0.2093444E+02 0.6442642E-01
198502 0.2087307E+02 -.8798599E-02
198503 0.2089123E+02 -.3814888E-01
198504 0.2092966E+02 0.1384354E-01
198505 0.2090206E+02 0.8273697E-01
198506 0.2085188E+02 0.1703472E+00
