Warm Water Volume (m**3,5N-5S,155W-80W)
TAO Project Office/NOAA/PMEL/Seattle
http://www.pmel.noaa.gov/tao/
Michael J. McPhaden, Director

 date     Volume       Anomaly
198001 0.9153720E+15 0.8831808E+14
198002 0.8544490E+15 0.7401940E+14
198003 0.7876748E+15 0.5237021E+14
198004 0.7471321E+15 0.3553777E+14
198005 0.7453299E+15 0.3406775E+14
198006 0.7542858E+15 0.3117623E+14
198007 0.7544478E+15 0.1783807E+14
198008 0.7526242E+15 -.1203530E+13
198009 0.7788772E+15 0.2112117E+13
198010 0.8220547E+15 0.2422355E+14
198011 0.8597545E+15 0.4093077E+14
198012 0.8742342E+15 0.3857679E+14
198101 0.8396848E+15 0.1263083E+14
198102 0.7931423E+15 0.1271277E+14
198103 0.7692458E+15 0.3394118E+14
198104 0.7510205E+15 0.3942619E+14
198105 0.7350926E+15 0.2383042E+14
198106 0.7202121E+15 -.2897492E+13
198107 0.7168133E+15 -.1979651E+14
198108 0.7392263E+15 -.1460141E+14
198109 0.7755312E+15 -.1233931E+13
198110 0.7953499E+15 -.2481283E+13
198111 0.8133991E+15 -.5424678E+13
198112 0.8470969E+15 0.1143944E+14
198201 0.8545323E+15 0.2747840E+14
198202 0.8115376E+15 0.3110805E+14
198203 0.7747996E+15 0.3949504E+14
198204 0.7790038E+15 0.6740944E+14
198205 0.7957734E+15 0.8451127E+14
198206 0.7894133E+15 0.6630369E+14
198207 0.7844379E+15 0.4782815E+14
198208 0.8415854E+15 0.8775772E+14
198209 0.9267273E+15 0.1499622E+15
198210 0.9696770E+15 0.1718459E+15
198211 0.1012769E+16 0.1939457E+15
198212 0.1060189E+16 0.2245316E+15
198301 0.9958760E+15 0.1688221E+15
198302 0.9124297E+15 0.1320001E+15
198303 0.8741457E+15 0.1388411E+15
198304 0.8445367E+15 0.1329423E+15
198305 0.8187914E+15 0.1075293E+15
198306 0.7824646E+15 0.5935497E+14
198307 0.7526568E+15 0.1604707E+14
198308 0.7495794E+15 -.4248327E+13
198309 0.7326901E+15 -.4407495E+14
198310 0.6835532E+15 -.1142780E+15
198311 0.6717158E+15 -.1471080E+15
198312 0.7082944E+15 -.1273630E+15
198401 0.7244479E+15 -.1026060E+15
198402 0.7065539E+15 -.7387565E+14
198403 0.6778690E+15 -.5743559E+14
198404 0.6415706E+15 -.7002374E+14
198405 0.6170203E+15 -.9424185E+14
198406 0.6235703E+15 -.9953936E+14
198407 0.6583685E+15 -.7824129E+14
198408 0.7028644E+15 -.5096328E+14
198409 0.7244127E+15 -.5235243E+14
198410 0.7263696E+15 -.7146154E+14
198411 0.7332728E+15 -.8555098E+14
198412 0.7411167E+15 -.9454069E+14
198501 0.7393490E+15 -.8770498E+14
198502 0.7339052E+15 -.4652436E+14
198503 0.7153206E+15 -.1998395E+14
198504 0.7038707E+15 -.7723626E+13
198505 0.7064029E+15 -.4859219E+13
198506 0.7079088E+15 -.1520083E+14
198507 0.7193912E+15 -.1721859E+14
