Warm Water Volume (m**3,5N-5S,120E-155W)
TAO Project Office/NOAA/PMEL/Seattle
http://www.pmel.noaa.gov/tao/
Michael J. McPhaden, Director

 date     Volume       Anomaly
198001 0.1690032E+16 -.1174459E+14
198002 0.1709985E+16 -.3970160E+13
198003 0.1726390E+16 0.3852049E+11
198004 0.1721118E+16 0.4551055E+13
198005 0.1694522E+16 0.6141937E+13
198006 0.1670436E+16 0.1213744E+14
198007 0.1668847E+16 0.2897103E+14
198008 0.1690979E+16 0.5071712E+14
198009 0.1718821E+16 0.6247714E+14
198010 0.1744901E+16 0.6086465E+14
198011 0.1761589E+16 0.5346496E+14
198012 0.1748789E+16 0.3951276E+14
198101 0.1736355E+16 0.3457784E+14
198102 0.1766391E+16 0.5243578E+14
198103 0.1788032E+16 0.6168016E+14
198104 0.1751133E+16 0.3456643E+14
198105 0.1702943E+16 0.1456262E+14
198106 0.1670324E+16 0.1202551E+14
198107 0.1670112E+16 0.3023590E+14
198108 0.1692063E+16 0.5180053E+14
198109 0.1703374E+16 0.4703056E+14
198110 0.1719645E+16 0.3560823E+14
198111 0.1735438E+16 0.2731438E+14
198112 0.1734066E+16 0.2478988E+14
198201 0.1744721E+16 0.4294444E+14
198202 0.1763667E+16 0.4971143E+14
198203 0.1767636E+16 0.4128443E+14
198204 0.1750226E+16 0.3365966E+14
198205 0.1708836E+16 0.2045545E+14
198206 0.1673828E+16 0.1552993E+14
198207 0.1669973E+16 0.3009752E+14
198208 0.1677114E+16 0.3685176E+14
198209 0.1678117E+16 0.2177387E+14
198210 0.1676370E+16 -.7667053E+13
198211 0.1642149E+16 -.6597432E+14
198212 0.1566682E+16 -.1425945E+15
198301 0.1530633E+16 -.1711438E+15
198302 0.1535820E+16 -.1781358E+15
198303 0.1549613E+16 -.1767383E+15
198304 0.1545785E+16 -.1707817E+15
198305 0.1523351E+16 -.1650290E+15
198306 0.1502210E+16 -.1560881E+15
198307 0.1496965E+16 -.1429114E+15
198308 0.1509417E+16 -.1308450E+15
198309 0.1523308E+16 -.1330353E+15
198310 0.1548915E+16 -.1351216E+15
198311 0.1600000E+16 -.1081234E+15
198312 0.1623814E+16 -.8546220E+14
198401 0.1624073E+16 -.7770441E+14
198402 0.1642391E+16 -.7156476E+14
198403 0.1664158E+16 -.6219301E+14
198404 0.1668949E+16 -.4761777E+14
198405 0.1651956E+16 -.3642454E+14
198406 0.1626582E+16 -.3171605E+14
198407 0.1602162E+16 -.3771424E+14
198408 0.1599830E+16 -.4043229E+14
198409 0.1619875E+16 -.3646870E+14
198410 0.1661789E+16 -.2224766E+14
198411 0.1722210E+16 0.1408642E+14
198412 0.1746833E+16 0.3755707E+14
198501 0.1744496E+16 0.4271936E+14
198502 0.1743104E+16 0.2914847E+14
198503 0.1750037E+16 0.2368594E+14
198504 0.1746770E+16 0.3020315E+14
198505 0.1725367E+16 0.3698638E+14
198506 0.1711571E+16 0.5327276E+14
198507 0.1704938E+16 0.6506231E+14
